frame(1 sec = 60 frames), PosX, PosY, VelocityVector
158,24720.73,33397.336,(265.29562;-305.3194)
159,24983.373,33697.78,(262.64267;-300.4462)
160,25243.389,33993.406,(260.01624;-295.62173)
161,25500.805,34284.25,(257.41608;-290.84552)
162,25755.646,34570.367,(254.84192;-286.11707)
163,26007.94,34851.805,(252.2935;-281.43588)
164,26257.71,35128.605,(249.77057;-276.8015)
165,26504.984,35400.82,(247.27286;-272.2135)
166,26749.785,35668.492,(244.80013;-267.67136)
167,26992.137,35931.668,(242.35213;-263.17462)
168,27232.064,36190.39,(239.9286;-258.72287)
169,27469.594,36444.707,(237.52931;-254.31563)
170,27704.748,36694.66,(235.15402;-249.95247)
171,27937.55,36940.293,(232.80247;-245.63293)
172,28168.025,37181.65,(230.47446;-241.3566)
173,28396.195,37418.77,(228.16971;-237.12303)
174,28622.084,37651.703,(225.88802;-232.9318)
175,28845.713,37880.484,(223.62914;-228.78247)
176,29067.105,38105.16,(221.39284;-224.67464)
177,29286.285,38325.77,(219.17891;-220.60788)
178,29503.271,38542.35,(216.98712;-216.58179)
179,29718.088,38754.95,(214.81725;-212.59596)
180,29930.758,38963.598,(212.66907;-208.65)
181,30141.3,39168.34,(210.54237;-204.74348)
182,30349.738,39369.215,(208.43695;-200.87604)
183,30556.092,39566.26,(206.35258;-197.04727)
184,30760.38,39759.52,(204.28906;-193.25679)
185,30962.627,39949.023,(202.24617;-189.50421)
186,31162.852,40134.812,(200.22371;-185.78917)
187,31361.072,40316.92,(198.22147;-182.11127)
188,31557.312,40495.39,(196.23926;-178.47015)
189,31751.59,40670.258,(194.27687;-174.86545)
190,31943.924,40841.555,(192.3341;-171.29678)
191,32134.334,41009.32,(190.41077;-167.76381)
192,32322.84,41173.586,(188.50665;-164.26616)
193,32509.46,41334.39,(186.62158;-160.8035)
194,32694.217,41491.766,(184.75537;-157.37546)
195,32877.125,41645.746,(182.90782;-153.98169)
196,33058.203,41796.367,(181.07875;-150.62187)
197,33237.473,41943.664,(179.26796;-147.29564)
198,33414.95,42087.668,(177.47528;-144.00267)
199,33590.65,42228.41,(175.70053;-140.74263)
200,33764.594,42365.926,(173.94353;-137.5152)
201,33936.797,42500.246,(172.20409;-134.32004)
202,34107.277,42631.402,(170.48204;-131.15683)
203,34276.055,42759.426,(168.77722;-128.02525)
204,34443.145,42884.35,(167.08945;-124.925)
205,34608.562,43006.207,(165.41855;-121.85575)
206,34772.33,43125.023,(163.76436;-118.81719)
207,34934.453,43240.832,(162.12671;-115.80902)
208,35094.957,43353.664,(160.50545;-112.83093)
209,35253.86,43463.547,(158.90039;-109.88262)
210,35411.17,43570.51,(157.31139;-106.9638)
211,35566.91,43674.586,(155.73827;-104.07416)
212,35721.09,43775.8,(154.18088;-101.21342)
213,35873.73,43874.184,(152.63907;-98.38129)
214,36024.844,43969.76,(151.11267;-95.57748)
215,36174.445,44062.562,(149.60155;-92.801704)
216,36322.55,44152.617,(148.10553;-90.05369)
217,36469.176,44239.95,(146.62448;-87.33315)
218,36614.336,44324.59,(145.15823;-84.639824)
219,36758.043,44406.562,(143.70665;-81.97343)
220,36900.312,44485.895,(142.26958;-79.333694)
221,37041.16,44562.613,(140.84688;-76.72036)
222,37180.598,44636.746,(139.43842;-74.133156)
223,37318.64,44708.316,(138.04404;-71.57182)
224,37455.305,44777.35,(136.66359;-69.0361)
225,37590.6,44843.88,(135.29695;-66.52574)
226,37724.547,44907.918,(133.94398;-64.04048)
227,37857.152,44969.5,(132.60454;-61.58008)
228,37988.43,45028.645,(131.27849;-59.14428)
229,38118.395,45085.38,(129.9657;-56.732838)
230,38247.062,45139.723,(128.66605;-54.34551)
231,38374.44,45191.703,(127.37939;-51.982056)
232,38500.547,45241.344,(126.10559;-49.642235)
233,38625.39,45288.668,(124.844536;-47.325813)
234,38748.99,45333.7,(123.59609;-45.032555)
235,38871.348,45376.46,(122.36013;-42.76223)
236,38992.484,45416.977,(121.13653;-40.514606)
237,39112.41,45455.266,(119.92516;-38.28946)
238,39231.137,45491.35,(118.725914;-36.086563)
239,39348.676,45525.258,(117.53866;-33.905697)
240,39465.04,45557.004,(116.36327;-31.74664)
241,39580.24,45586.613,(115.19964;-29.609173)
242,39694.285,45614.105,(114.047646;-27.493082)
243,39807.19,45639.504,(112.907166;-25.398151)
244,39918.97,45662.83,(111.77809;-23.324171)
245,40029.63,45684.098,(110.66031;-21.27093)
246,40139.184,45703.336,(109.5537;-19.23822)
247,40247.64,45720.562,(108.45817;-17.225838)
248,40355.016,45735.797,(107.37359;-15.23358)
249,40461.316,45749.06,(106.29985;-13.261244)
250,40566.555,45760.367,(105.236855;-11.308632)
251,40670.74,45769.742,(104.18449;-9.3755455)
252,40773.883,45777.203,(103.14264;-7.46179)
253,40875.992,45782.77,(102.11121;-5.567172)
254,40977.082,45786.46,(101.0901;-3.6915002)
255,41077.16,45788.297,(100.0792;-1.8345852)
256,41176.24,45788.293,(99.07841;0.003760714)
257,41274.324,45786.47,(98.08762;1.8237232)
258,41371.43,45782.844,(97.10675;3.6254861)
259,41467.566,45777.434,(96.13568;5.409231)
260,41562.742,45770.258,(95.174324;7.175139)
261,41656.965,45761.336,(94.22258;8.923388)
262,41750.246,45750.684,(93.28036;10.654154)
263,41842.594,45738.316,(92.34756;12.367612)
264,41934.02,45724.254,(91.42408;14.063935)
265,42024.53,45708.51,(90.50984;15.743296)
266,42114.137,45691.105,(89.604744;17.405863)
267,42202.844,45672.055,(88.708694;19.051804)
268,42290.664,45651.375,(87.82161;20.681286)
269,42377.61,45629.082,(86.94339;22.294472)
270,42463.684,45605.19,(86.07396;23.891527)
271,42548.9,45579.72,(85.21322;25.472612)
272,42633.258,45552.68,(84.361084;27.037886)
273,42716.773,45524.094,(83.51747;28.587507)
274,42799.457,45493.973,(82.6823;30.121632)
275,42881.312,45462.332,(81.85548;31.640415)
276,42962.348,45429.188,(81.03692;33.144012)
277,43042.574,45394.555,(80.22655;34.632572)
278,43122.0,45358.45,(79.42428;36.106247)
279,43200.63,45320.883,(78.630035;37.565186)
280,43278.473,45281.875,(77.843735;39.009533)
281,43355.54,45241.438,(77.0653;40.439438)
282,43431.832,45199.582,(76.29465;41.85504)
283,43507.363,45156.324,(75.5317;43.256493)
284,43582.14,45111.68,(74.77638;44.64393)
285,43656.168,45065.664,(74.02862;46.01749)
286,43729.457,45018.285,(73.28833;47.377316)
287,43802.01,44969.562,(72.55545;48.72354)
288,43873.84,44919.508,(71.829895;50.056305)
289,43944.953,44868.133,(71.111595;51.37574)
290,44015.355,44815.45,(70.40048;52.681984)
291,44085.05,44761.473,(69.69648;53.975163)
292,44154.05,44706.22,(68.99951;55.25541)
293,44222.36,44649.695,(68.30952;56.522854)
294,44289.984,44591.918,(67.62642;57.777626)
295,44356.934,44532.9,(66.95016;59.019848)
296,44423.215,44472.65,(66.280655;60.24965)
297,44488.832,44411.18,(65.61785;61.46715)
298,44553.793,44348.508,(64.96167;62.67248)
299,44618.105,44284.64,(64.31205;63.86576)
300,44681.773,44219.594,(63.66893;65.047104)
301,44744.805,44153.38,(63.03224;66.21663)
302,44807.207,44086.004,(62.40192;67.374466)
303,44868.984,44017.484,(61.7779;68.52072)
304,44930.145,43947.83,(61.160122;69.65552)
305,44990.69,43877.05,(60.54852;70.77896)
306,45050.633,43805.16,(59.943035;71.891174)
307,45109.977,43732.168,(59.343605;72.99226)
308,45168.727,43658.086,(58.750168;74.082344)
309,45226.89,43582.926,(58.162666;75.16152)
310,45284.473,43506.695,(57.58104;76.229904)
311,45341.477,43429.406,(57.00523;77.287605)
312,45397.91,43351.07,(56.435177;78.33473)
313,45453.78,43271.7,(55.870827;79.37138)
314,45509.094,43191.3,(55.31212;80.39767)
315,45563.85,43109.887,(54.759;81.41369)
316,45618.062,43027.47,(54.21141;82.41955)
317,45671.73,42944.055,(53.669296;83.41535)
318,45724.863,42859.652,(53.132603;84.4012)
319,45777.465,42774.273,(52.601276;85.37719)
320,45829.54,42687.93,(52.075264;86.343414)
321,45881.094,42600.63,(51.554512;87.29998)
322,45932.133,42512.383,(51.038967;88.24698)
323,45982.66,42423.2,(50.528576;89.18451)
324,46032.684,42333.086,(50.02329;90.11266)
325,46082.207,42242.055,(49.523056;91.03154)
326,46131.234,42150.113,(49.027824;91.94122)
327,46179.773,42057.27,(48.537544;92.84181)
328,46227.824,41963.535,(48.05217;93.73339)
329,46275.395,41868.918,(47.571648;94.61606)
330,46322.492,41773.43,(47.095932;95.4899)
331,46369.117,41677.074,(46.624973;96.354996)
332,46415.277,41579.863,(46.158722;97.21145)
333,46460.973,41481.805,(45.697136;98.05933)
334,46506.21,41382.906,(45.240166;98.89874)
335,46551.0,41283.176,(44.787766;99.72975)
336,46595.34,41182.625,(44.33989;100.55245)
337,46639.24,41081.258,(43.896492;101.36693)
338,46682.695,40979.086,(43.457527;102.173256)
339,46725.72,40876.113,(43.022953;102.97152)
340,46768.312,40772.35,(42.592724;103.7618)
341,46810.48,40667.81,(42.166798;104.54418)
342,46852.227,40562.49,(41.74513;105.31874)
343,46893.555,40456.402,(41.32768;106.085556)
344,46934.47,40349.56,(40.914402;106.8447)
345,46974.973,40241.96,(40.505257;107.59626)
346,47015.074,40133.62,(40.100204;108.340294)
347,47054.773,40024.543,(39.699203;109.07689)
348,47094.074,39914.74,(39.30221;109.80612)
349,47132.984,39804.21,(38.90919;110.52806)
350,47171.504,39692.97,(38.5201;111.24278)
351,47209.64,39581.02,(38.1349;111.950356)
352,47247.395,39468.367,(37.75355;112.65085)
353,47284.77,39355.023,(37.376015;113.34434)
354,47321.773,39240.992,(37.002254;114.03089)
355,47358.406,39126.28,(36.632233;114.71058)
356,47394.67,39010.9,(36.26591;115.38348)
357,47430.574,38894.848,(35.90325;116.049644)
358,47466.117,38778.137,(35.54422;116.709145)
359,47501.305,38660.773,(35.188778;117.36205)
360,47536.14,38542.766,(34.83689;118.00843)
361,47570.63,38424.117,(34.48852;118.648346)
362,47604.773,38304.836,(34.143635;119.28186)
363,47638.574,38184.926,(33.8022;119.90904)
364,47672.04,38064.395,(33.46418;120.52995)
365,47705.168,37943.25,(33.12954;121.14465)
366,47737.965,37821.496,(32.798244;121.753204)
367,47770.434,37699.14,(32.47026;122.355675)
368,47802.58,37576.188,(32.145557;122.95212)
369,47834.402,37452.645,(31.824102;123.542595)
370,47865.91,37328.516,(31.505861;124.12717)
371,47897.1,37203.81,(31.190804;124.705894)
372,47927.98,37078.53,(30.878895;125.27883)
373,47958.55,36952.684,(30.570107;125.84605)
374,47988.816,36826.277,(30.264406;126.407585)
375,48018.777,36699.312,(29.961761;126.96351)
376,48048.44,36571.797,(29.662144;127.51387)
377,48077.81,36443.74,(29.365522;128.05875)
378,48106.88,36315.14,(29.071867;128.59816)
379,48135.66,36186.008,(28.781149;129.13219)
380,48164.152,36056.348,(28.493338;129.66087)
381,48192.36,35926.164,(28.208405;130.18427)
382,48220.285,35795.46,(27.926321;130.70242)
383,48247.934,35664.246,(27.647058;131.21541)
384,48275.305,35532.523,(27.370588;131.72327)
385,48302.402,35400.297,(27.096882;132.22604)
386,48329.227,35267.574,(26.825912;132.72379)
387,48355.785,35134.36,(26.557653;133.21655)
388,48382.08,35000.656,(26.292076;133.70439)
389,48408.105,34866.47,(26.029156;134.18735)
390,48433.875,34731.805,(25.768864;134.66548)
391,48459.387,34596.664,(25.511175;135.13884)
392,48484.645,34461.055,(25.256063;135.60745)
393,48509.65,34324.984,(25.003502;136.07138)
394,48534.402,34188.453,(24.753468;136.53067)
395,48558.91,34051.47,(24.505934;136.98537)
396,48583.17,33914.035,(24.260874;137.43552)
397,48607.19,33776.152,(24.018265;137.88116)
398,48630.97,33637.83,(23.778082;138.32236)
399,48654.508,33499.07,(23.5403;138.75914)
400,48677.812,33359.88,(23.304897;139.19156)
401,48700.883,33220.258,(23.071848;139.61964)
402,48723.723,33080.22,(22.84113;140.04346)
403,48746.336,32939.754,(22.612719;140.46303)
404,48768.723,32798.875,(22.386591;140.8784)
405,48790.887,32657.586,(22.162725;141.28963)
406,48812.83,32515.889,(21.941097;141.69673)
407,48834.55,32373.79,(21.721685;142.09978)
408,48856.055,32231.291,(21.504469;142.49878)
409,48877.344,32088.396,(21.289425;142.8938)
410,48898.42,31945.111,(21.07653;143.28487)
411,48919.29,31801.44,(20.865765;143.67203)
412,48939.945,31657.385,(20.657106;144.05531)
413,48960.395,31512.95,(20.450535;144.43477)
414,48980.64,31368.139,(20.246029;144.81042)
415,49000.684,31222.957,(20.043568;145.18233)
416,49020.527,31077.406,(19.843132;145.5505)
417,49040.17,30931.492,(19.644701;145.91501)
418,49059.62,30785.217,(19.448254;146.27586)
419,49078.875,30638.584,(19.25377;146.63312)
420,49097.938,30491.598,(19.061234;146.9868)
421,49116.81,30344.26,(18.87062;147.33694)
422,49135.492,30196.576,(18.681915;147.68358)
423,49153.99,30048.549,(18.495096;148.02675)
424,49172.297,29900.182,(18.310144;148.36649)
425,49190.426,29751.479,(18.127043;148.70284)
426,49208.37,29602.443,(17.945772;149.03581)
427,49226.137,29453.078,(17.766314;149.36546)
428,49243.727,29303.387,(17.58865;149.69182)
429,49261.14,29153.371,(17.412764;150.01491)
430,49278.38,29003.037,(17.238636;150.33476)
431,49295.445,28852.385,(17.06625;150.65143)
432,49312.34,28701.42,(16.895588;150.96492)
433,49329.066,28550.145,(16.726631;151.27528)
434,49345.625,28398.562,(16.559364;151.58253)
435,49362.02,28246.676,(16.39377;151.88672)
436,49378.25,28094.488,(16.229832;152.18787)
437,49394.316,27942.002,(16.067533;152.486)
438,49410.223,27789.22,(15.906858;152.78114)
439,49425.97,27636.146,(15.747789;153.07333)
440,49441.56,27482.783,(15.590311;153.36261)
441,49456.992,27329.135,(15.434408;153.64899)
442,49472.273,27175.203,(15.280064;153.93251)
443,49487.402,27020.99,(15.127263;154.2132)
444,49502.38,26866.5,(14.97599;154.49107)
445,49517.207,26711.734,(14.82623;154.76617)
446,49531.887,26556.695,(14.677968;155.03851)
447,49546.418,26401.387,(14.531188;155.30814)
448,49560.805,26245.812,(14.385876;155.57506)
449,49575.047,26089.973,(14.242017;155.83931)
450,49589.145,25933.871,(14.099597;156.10092)
451,49603.1,25777.512,(13.958601;156.35992)
452,49616.92,25620.895,(13.819015;156.61633)
453,49630.6,25464.023,(13.680824;156.87018)
454,49644.145,25306.902,(13.544016;157.12149)
455,49657.555,25149.531,(13.408576;157.37029)
456,49670.83,24991.914,(13.27449;157.6166)
457,49683.97,24834.053,(13.141746;157.86043)
458,49696.98,24675.951,(13.010328;158.10184)
459,49709.86,24517.61,(12.880225;158.34082)
460,49722.61,24359.031,(12.751423;158.57742)
461,49735.234,24200.219,(12.623909;158.81166)
462,49747.73,24041.176,(12.49767;159.04355)
463,49760.1,23881.902,(12.372693;159.27312)
464,49772.35,23722.402,(12.248966;159.5004)
465,49784.477,23562.678,(12.126476;159.7254)
466,49796.48,23402.73,(12.005212;159.94815)
467,49808.367,23242.562,(11.8851595;160.16867)
468,49820.133,23082.176,(11.766308;160.387)
469,49831.78,22921.572,(11.648644;160.60313)
470,49843.312,22760.756,(11.532158;160.81711)
471,49854.73,22599.727,(11.416837;161.02895)
472,49866.03,22438.488,(11.302669;161.23866)
473,49877.223,22277.043,(11.189642;161.44629)
474,49888.3,22115.39,(11.077745;161.65184)
475,49899.27,21953.535,(10.966968;161.85533)
476,49910.125,21791.479,(10.857298;162.05678)
477,49920.875,21629.223,(10.748725;162.25621)
478,49931.516,21466.77,(10.641237;162.45366)
479,49942.05,21304.121,(10.534825;162.64912)
480,49952.48,21141.28,(10.429477;162.84264)
481,49962.805,20978.244,(10.325182;163.03421)
482,49973.027,20815.02,(10.2219305;163.22388)
483,49983.15,20651.607,(10.119711;163.41165)
484,49993.168,20488.01,(10.018514;163.59755)
485,50003.086,20324.229,(9.918328;163.78159)
486,50012.906,20160.266,(9.819145;163.96378)
487,50022.63,19996.121,(9.720954;164.14415)
488,50032.254,19831.799,(9.623744;164.32271)
489,50041.78,19667.299,(9.527507;164.49948)
490,50051.215,19502.625,(9.432232;164.6745)
491,50060.555,19337.777,(9.33791;164.84776)
492,50069.8,19172.758,(9.244531;165.01929)
493,50078.953,19007.568,(9.152085;165.1891)
494,50088.016,18842.21,(9.060564;165.35722)
495,50096.984,18676.688,(8.969958;165.52365)
496,50105.863,18511.0,(8.880259;165.68842)
497,50114.656,18345.148,(8.791456;165.85153)
498,50123.36,18179.135,(8.703542;166.01303)
499,50131.977,18012.96,(8.616507;166.17291)
500,50140.508,17846.629,(8.530341;166.33119)
501,50148.953,17680.14,(8.445038;166.48788)
502,50157.312,17513.498,(8.360587;166.643)
503,50165.59,17346.701,(8.276981;166.79659)
504,50173.785,17179.754,(8.194212;166.94862)
505,50181.9,17012.652,(8.112269;167.09915)
506,50189.93,16845.406,(8.031147;167.24817)
507,50197.88,16678.01,(7.9508357;167.39569)
508,50205.75,16510.469,(7.8713274;167.54175)
509,50213.543,16342.781,(7.792614;167.68634)
510,50221.258,16174.952,(7.714688;167.82948)
511,50228.895,16006.98,(7.637541;167.97119)
512,50236.457,15838.869,(7.5611653;168.11148)
513,50243.94,15670.619,(7.4855537;168.25037)
514,50251.35,15502.231,(7.4106984;168.38786)
515,50258.688,15333.707,(7.3365912;168.52399)
516,50265.95,15165.048,(7.2632256;168.65875)
517,50273.14,14996.256,(7.1905932;168.79218)
518,50280.258,14827.332,(7.118687;168.92426)
519,50287.305,14658.277,(7.0475;169.05502)
520,50294.28,14489.093,(6.977025;169.18448)
521,50301.188,14319.78,(6.9072547;169.31264)
522,50308.027,14150.341,(6.838182;169.43951)
523,50314.797,13980.775,(6.7698;169.56512)
524,50321.5,13811.086,(6.702102;169.68948)
525,50328.137,13641.273,(6.6350813;169.81259)
526,50334.707,13471.339,(6.5687304;169.93448)
527,50341.21,13301.284,(6.503043;170.05515)
528,50347.65,13131.109,(6.4380126;170.1746)
529,50354.023,12960.816,(6.3736324;170.29286)
530,50360.332,12790.406,(6.309896;170.40994)
531,50366.58,12619.881,(6.246797;170.52585)
532,50372.76,12449.24,(6.184329;170.6406)
533,50378.883,12278.486,(6.1224856;170.7542)
534,50384.945,12107.62,(6.0612607;170.86667)
535,50390.945,11936.643,(6.000648;170.97801)
536,50396.887,11765.555,(5.9406414;171.08824)
537,50402.77,11594.357,(5.881235;171.19737)
538,50408.594,11423.052,(5.822423;171.3054)
539,50414.36,11251.64,(5.764199;171.41235)
540,50420.066,11080.121,(5.706557;171.51823)
541,50425.715,10908.498,(5.6494913;171.62306)
542,50431.31,10736.771,(5.5929966;171.72684)
543,50436.844,10564.942,(5.5370665;171.82957)
544,50442.324,10393.011,(5.4816957;171.93129)
545,50447.75,10220.979,(5.426879;172.03198)
546,50453.12,10048.847,(5.37261;172.13167)
547,50458.44,9876.616,(5.318884;172.23036)
548,50463.707,9704.288,(5.265695;172.32806)
549,50468.92,9531.863,(5.213038;172.42479)
550,50474.082,9359.343,(5.1609077;172.52055)
551,50479.19,9186.728,(5.1092987;172.61536)
552,50484.25,9014.019,(5.0582056;172.70921)
553,50489.258,8841.217,(5.0076237;172.80212)
554,50494.215,8668.322,(4.9575477;172.8941)
555,50499.12,8495.337,(4.9079723;172.98517)
556,50503.98,8322.262,(4.8588924;173.07532)
557,50508.79,8149.097,(4.8103037;173.16457)
558,50513.55,7975.844,(4.762201;173.25293)
559,50518.266,7802.504,(4.7145786;173.34041)
560,50522.934,7629.0767,(4.667433;173.42702)
561,50527.555,7455.564,(4.6207585;173.51276)
562,50532.13,7281.9663,(4.574551;173.59764)
563,50536.656,7108.2847,(4.5288057;173.68167)
564,50541.14,6934.52,(4.4835176;173.76486)
565,50545.58,6760.673,(4.4386826;173.84721)
566,50549.973,6586.744,(4.3942957;173.92874)
567,50554.324,6412.735,(4.350353;174.00946)
568,50558.633,6238.6455,(4.306849;174.08937)
569,50562.9,6064.477,(4.2637806;174.16849)
570,50567.12,5890.2305,(4.221143;174.24681)
571,50571.3,5715.9062,(4.178931;174.32436)
572,50575.438,5541.505,(4.1371417;174.40112)
573,50579.535,5367.028,(4.0957704;174.47711)
574,50583.59,5192.4756,(4.0548124;174.55235)
575,50587.605,5017.8486,(4.014264;174.62683)
576,50591.58,4843.148,(3.9741216;174.70058)
577,50595.51,4668.374,(3.9343803;174.77357)
578,50599.406,4493.5283,(3.8950365;174.84584)
579,50603.26,4318.611,(3.856086;174.91739)
580,50607.08,4143.6226,(3.8175251;174.98822)
581,50610.86,3968.5642,(3.7793498;175.05835)
582,50614.6,3793.4365,(3.7415564;175.12778)
583,50618.305,3618.24,(3.704141;175.1965)
584,50621.973,3442.9753,(3.6670995;175.26454)
585,50625.6,3267.6436,(3.6304286;175.33191)
586,50629.195,3092.2449,(3.5941243;175.39859)
587,50632.754,2916.7803,(3.5581832;175.46461)
588,50636.277,2741.2502,(3.5226014;175.52998)
589,50639.766,2565.6555,(3.4873753;175.5947)
590,50643.22,2389.9968,(3.4525015;175.65875)
591,50646.637,2214.2747,(3.4179766;175.72217)
592,50650.02,2038.4897,(3.383797;175.78496)
593,50653.37,1862.6426,(3.349959;175.84712)
594,50656.688,1686.734,(3.3164594;175.90866)
595,50659.973,1510.7644,(3.283295;175.96957)
596,50663.223,1334.7345,(3.250462;176.02989)
597,50666.44,1158.6449,(3.2179575;176.0896)
598,50669.63,982.4962,(3.185778;176.14871)
599,50672.78,806.28894,(3.1539202;176.20723)
600,50675.902,630.0238,(3.122381;176.26517)
601,50678.992,453.7013,(3.0911572;176.32253)
602,50682.05,277.32202,(3.0602455;176.3793)
603,50685.082,100.886475,(3.029643;176.43552)
604,50685.082,-0.0,(0.0;0.0)
